Timestamp,Record Type,Instrument,Ob Position,Quantity Diff,Ob Command,Change Reason,Order Number,Premium (256ths),Quantity,Bid/Ask,Total Volume,Display Quantity,Sequence,Source,Instrument Name,Deal Source,Aggressive,Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask
07:46:08:700054 20180108,OB_CHANGE,2_YEAR,66.0,9.0,ADD,6.0,605794000006F200,25562,9.0,A,0.0,,18234,OC,,,,,,,,,
07:46:08:700163 20180108,OB_CHANGE,2_YEAR,263.0,-1.0,DELETE,1.0,605794000006F199,25552,0.0,B,0.0,,18235,OC,,,,,,,,,
07:46:12:487264 20180108,OB_CHANGE,2_YEAR,28.0,-8.0,DELETE,10.0,605794000006EAA7,25560,0.0,B,0.0,,18236,OC,,,,,,,,,
07:46:13:368721 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F22E,25562,5.0,A,0.0,,18237,OC,,,,,,,,,
07:46:13:368829 20180108,OB_CHANGE,2_YEAR,262.0,1.0,ADD,6.0,605794000006F230,25552,1.0,B,0.0,,18238,OC,,,,,,,,,
07:46:13:372679 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F22E,25562,0.0,A,0.0,,18239,OC,,,,,,,,,
07:46:13:651324 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F27A,25562,5.0,A,0.0,,18240,OC,,,,,,,,,
07:46:13:687775 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F27A,25562,0.0,A,0.0,,18241,OC,,,,,,,,,
07:46:13:724225 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F285,25562,5.0,A,0.0,,18242,OC,,,,,,,,,
07:46:13:918159 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F285,25562,0.0,A,0.0,,18243,OC,,,,,,,,,
07:46:15:445765 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F2C2,25562,5.0,A,0.0,,18244,OC,,,,,,,,,
07:46:16:960915 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F2C2,25562,0.0,A,0.0,,18245,OC,,,,,,,,,
07:46:16:960998 20180108,OB_CHANGE,2_YEAR,262.0,-1.0,DELETE,1.0,605794000006F230,25552,0.0,B,0.0,,18246,OC,,,,,,,,,
07:46:20:452256 20180108,OB_CHANGE,2_YEAR,29.0,1.0,ADD,6.0,605794000006F2F8,25560,1.0,B,0.0,,18247,OC,,,,,,,,,
07:46:23:181791 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F32A,25562,5.0,A,0.0,,18248,OC,,,,,,,,,
07:46:23:181902 20180108,OB_CHANGE,2_YEAR,263.0,1.0,ADD,6.0,605794000006F32B,25552,1.0,B,0.0,,18249,OC,,,,,,,,,
07:46:24:305629 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F32A,25562,0.0,A,0.0,,18250,OC,,,,,,,,,
07:46:24:406096 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F343,25562,5.0,A,0.0,,18251,OC,,,,,,,,,
07:46:24:406177 20180108,OB_CHANGE,2_YEAR,263.0,-1.0,DELETE,1.0,605794000006F32B,25552,0.0,B,0.0,,18252,OC,,,,,,,,,
07:46:25:469802 20180108,OB_CHANGE,2_YEAR,28.0,-10.0,DELETE,1.0,605794000006ECC1,25560,0.0,B,0.0,,18253,OC,,,,,,,,,
07:46:25:474624 20180108,OB_CHANGE,2_YEAR,383.0,-14.0,DELETE,1.0,605794000006EB87,25578,0.0,A,0.0,,18254,OC,,,,,,,,,
07:46:25:495183 20180108,OB_CHANGE,2_YEAR,68.0,14.0,ADD,6.0,605794000006F386,25562,14.0,A,0.0,,18255,OC,,,,,,,,,
07:46:25:495261 20180108,OB_CHANGE,2_YEAR,262.0,1.0,ADD,6.0,605794000006F387,25552,1.0,B,0.0,,18256,OC,,,,,,,,,
07:46:25:520547 20180108,OB_CHANGE,2_YEAR,303.0,10.0,ADD,6.0,605794000006F393,25550,10.0,B,0.0,,18257,OC,,,,,,,,,
07:46:25:544636 20180108,OB_CHANGE,2_YEAR,67.0,-5.0,DELETE,1.0,605794000006F343,25562,0.0,A,0.0,,18258,OC,,,,,,,,,
07:46:29:133045 20180108,OB_CHANGE,2_YEAR,67.0,-14.0,DELETE,1.0,605794000006F386,25562,0.0,A,0.0,,18259,OC,,,,,,,,,
07:46:29:133045 20180108,OB_CHANGE,2_YEAR,382.0,14.0,ADD,6.0,605794000006F386,25578,14.0,A,0.0,,18260,OC,,,,,,,,,
07:46:29:133458 20180108,OB_CHANGE,2_YEAR,67.0,5.0,ADD,6.0,605794000006F4A1,25562,5.0,A,0.0,,18261,OC,,,,,,,,,
07:46:29:133536 20180108,OB_CHANGE,2_YEAR,262.0,-1.0,DELETE,1.0,605794000006F387,25552,0.0,B,0.0,,18262,OC,,,,,,,,,
07:46:30:341362 20180108,OB_CHANGE,2_YEAR,92.0,-8.0,DELETE,1.0,605794000004B011,25558,0.0,B,0.0,,18263,OC,,,,,,,,,
07:46:30:341415 20180108,OB_CHANGE,2_YEAR,145.0,-8.0,DELETE,1.0,60579400000377AF,25556,0.0,B,0.0,,18264,OC,,,,,,,,,
07:46:30:341430 20180108,OB_CHANGE,2_YEAR,84.0,-8.0,DELETE,1.0,60579400000579CF,25558,0.0,B,0.0,,18265,OC,,,,,,,,,
07:46:30:341439 20180108,OB_CHANGE,2_YEAR,132.0,-8.0,DELETE,1.0,605794000001AC9A,25556,0.0,B,0.0,,18266,OC,,,,,,,,,
07:46:30:341492 20180108,OB_CHANGE,2_YEAR,54.0,-14.0,DELETE,1.0,60579400000536A1,25562,0.0,A,0.0,,18267,OC,,,,,,,,,
07:46:30:341492 20180108,OB_CHANGE,2_YEAR,131.0,2.0,ADD,6.0,60579400000536A1,25564,2.0,A,0.0,,18268,OC,,,,,,,,,
07:46:30:341546 20180108,OB_CHANGE,2_YEAR,258.0,1.0,ADD,6.0,605794000006F4DB,25552,1.0,B,0.0,,18269,OC,,,,,,,,,
07:46:30:341614 20180108,OB_CHANGE,2_YEAR,125.0,-4.0,DELETE,1.0,605794000006DE19,25564,0.0,A,0.0,,18270,OC,,,,,,,,,
07:46:30:341614 20180108,OB_CHANGE,2_YEAR,67.0,4.0,ADD,6.0,605794000006DE19,25562,4.0,A,0.0,,18271,OC,,,,,,,,,
07:46:30:341628 20180108,OB_CHANGE,2_YEAR,131.0,-2.0,DELETE,1.0,60579400000536A1,25564,0.0,A,0.0,,18272,OC,,,,,,,,,
07:46:30:341628 20180108,OB_CHANGE,2_YEAR,68.0,2.0,ADD,6.0,60579400000536A1,25562,2.0,A,0.0,,18273,OC,,,,,,,,,
07:46:30:341638 20180108,OB_CHANGE,2_YEAR,126.0,-8.0,DELETE,1.0,605794000006DE26,25564,0.0,A,0.0,,18274,OC,,,,,,,,,
07:46:30:341673 20180108,OB_CHANGE,2_YEAR,114.0,-6.0,DELETE,1.0,6057940000022850,25564,0.0,A,0.0,,18275,OC,,,,,,,,,
07:46:30:341749 20180108,OB_CHANGE,2_YEAR,130.0,4.0,ADD,6.0,605794000006F4E4,25564,4.0,A,0.0,,18276,OC,,,,,,,,,
07:46:30:342102 20180108,OB_CHANGE,2_YEAR,57.0,-1.0,DELETE,1.0,605794000006C6FD,25562,0.0,A,0.0,,18277,OC,,,,,,,,,
07:46:30:342106 20180108,OB_CHANGE,2_YEAR,64.0,-9.0,DELETE,1.0,605794000006F200,25562,0.0,A,0.0,,18278,OC,,,,,,,,,
07:46:30:342465 20180108,OB_CHANGE,2_YEAR,77.0,-20.0,DELETE,1.0,605794000005F63C,25558,0.0,B,0.0,,18279,OC,,,,,,,,,
07:46:47:074906 20180108,OB_CHANGE,2_YEAR,64.0,-5.0,DELETE,1.0,605794000006F4A1,25562,0.0,A,0.0,,18280,OC,,,,,,,,,
07:46:47:082376 20180108,OB_CHANGE,2_YEAR,29.0,10.0,ADD,6.0,605794000006F6CC,25560,10.0,B,0.0,,18281,OC,,,,,,,,,
07:46:47:082472 20180108,OB_CHANGE,2_YEAR,258.0,-1.0,DELETE,1.0,605794000006F4DB,25552,0.0,B,0.0,,18282,OC,,,,,,,,,
07:46:47:083204 20180108,OB_CHANGE,2_YEAR,30.0,2.0,ADD,6.0,605794000006F6E8,25560,2.0,B,0.0,,18283,OC,,,,,,,,,
07:46:47:083582 20180108,OB_CHANGE,2_YEAR,31.0,6.0,ADD,6.0,605794000006F6F2,25560,6.0,B,0.0,,18284,OC,,,,,,,,,
07:46:47:083657 20180108,OB_CHANGE,2_YEAR,32.0,1.0,ADD,6.0,605794000006F6F6,25560,1.0,B,0.0,,18285,OC,,,,,,,,,
07:46:47:083669 20180108,OB_CHANGE,2_YEAR,166.0,-1.0,DELETE,1.0,605794000001BBF8,25554,0.0,B,0.0,,18286,OC,,,,,,,,,
07:46:47:084589 20180108,OB_CHANGE,2_YEAR,66.0,5.0,ADD,6.0,605794000006F707,25562,5.0,A,0.0,,18287,OC,,,,,,,,,
07:46:47:092601 20180108,OB_CHANGE,2_YEAR,33.0,2.0,ADD,6.0,605794000006F739,25560,2.0,B,0.0,,18288,OC,,,,,,,,,
07:46:47:092854 20180108,OB_CHANGE,2_YEAR,34.0,2.0,ADD,6.0,605794000006F75D,25560,2.0,B,0.0,,18289,OC,,,,,,,,,
07:46:47:102364 20180108,OB_CHANGE,2_YEAR,35.0,5.0,ADD,6.0,605794000006F7A1,25560,5.0,B,0.0,,18290,OC,,,,,,,,,
07:46:47:107651 20180108,OB_CHANGE,2_YEAR,36.0,8.0,ADD,6.0,605794000006F7C1,25560,8.0,B,0.0,,18291,OC,,,,,,,,,
07:46:47:107951 20180108,OB_CHANGE,2_YEAR,61.0,0.0,ALTER,5.0,605794000003D504,25558,13.0,B,0.0,,18292,OC,,,,,,,,,
07:46:47:108081 20180108,OB_CHANGE,2_YEAR,62.0,0.0,ALTER,5.0,605794000003DE2D,25558,29.0,B,0.0,,18293,OC,,,,,,,,,
07:46:47:108167 20180108,OB_CHANGE,2_YEAR,69.0,0.0,ALTER,5.0,6057940000048D9B,25558,9.0,B,0.0,,18294,OC,,,,,,,,,
07:46:47:108357 20180108,OB_CHANGE,2_YEAR,86.0,0.0,ALTER,5.0,6057940000060578,25558,26.0,B,0.0,,18295,OC,,,,,,,,,
07:46:47:108508 20180108,OB_CHANGE,2_YEAR,88.0,0.0,ALTER,5.0,6057940000061761,25558,32.0,B,0.0,,18296,OC,,,,,,,,,
07:46:47:109087 20180108,OB_CHANGE,2_YEAR,37.0,11.0,ADD,6.0,605794000006F7D3,25560,11.0,B,0.0,,18297,OC,,,,,,,,,
07:46:47:109912 20180108,OB_CHANGE,2_YEAR,38.0,10.0,ADD,6.0,605794000006F7D9,25560,10.0,B,0.0,,18298,OC,,,,,,,,,
