Sequence,Action,Qty,Price,Liquidity,Direction
145,-14,14,99.921875,-1964.734375,Down
146,-14,14,99.8515625,-3362.65625,Down
147,+14,14,99.734375,-1966.375,Up
148,+14,14,99.828125,-568.78125,Up
149,+1,1,99.828125,-468.953125,Up
150,+51,51,99.8203125,4621.8828125,Up
151,+2,2,99.8203125,4821.5234375,Up
152,+54,54,99.703125,10205.4921875,Up
153,+42,42,99.8203125,14397.9453125,Up
154,+10,10,99.8125,15396.0703125,Up
155,+10,10,99.8046875,16394.1171875,Up
156,+10,10,99.796875,17392.0859375,Up
157,-10,10,99.8359375,16393.7265625,Down
158,-10,10,99.84375,15395.2890625,Down
159,-10,10,99.8515625,14396.7734375,Down
160,+10,10,99.7890625,15394.6640625,Up
161,+10,10,99.78125,16392.4765625,Up
162,-10,10,99.859375,15393.8828125,Down
163,-10,10,99.8671875,14395.2109375,Down
164,+10,10,99.7734375,15392.9453125,Up
165,+10,10,99.765625,16390.6015625,Up
166,+10,10,99.7578125,17388.1796875,Up
167,-10,10,99.875,16389.4296875,Down
168,-10,10,99.8828125,15390.6015625,Down
169,-10,10,99.890625,14391.6953125,Down
170,-42,42,99.84375,10198.2578125,Down
171,+42,42,99.8203125,14390.7109375,Up
172,-5,5,99.84375,13891.4921875,Down
173,-1,1,99.8359375,13791.65625,Down
174,+1,1,99.828125,13891.484375,Up
175,+1,1,99.8203125,13991.3046875,Up
176,-1,1,99.84375,13891.4609375,Down
177,-1,1,99.8515625,13791.609375,Down
178,+1,1,99.8125,13891.421875,Up
179,-1,1,99.859375,13791.5625,Down
180,+1,1,99.8046875,13891.3671875,Up
181,-1,1,99.8671875,13791.5,Down
182,+1,1,99.796875,13891.296875,Up
183,-1,1,99.875,13791.421875,Down
184,+1,1,99.7890625,13891.2109375,Up
185,+1,1,99.78125,13990.9921875,Up
186,-1,1,99.8828125,13891.109375,Down
187,-1,1,99.890625,13791.21875,Down
188,+1,1,99.7734375,13890.9921875,Up
189,-1,1,99.8984375,13791.09375,Down
190,+1,1,99.765625,13890.859375,Up
191,+1,1,99.7578125,13990.6171875,Up
192,-1,1,99.90625,13890.7109375,Down
193,-1,1,99.9140625,13790.796875,Down
194,+1,1,99.75,13890.546875,Up
195,+1,1,99.7421875,13990.2890625,Up
196,-1,1,99.921875,13890.3671875,Down
197,+1,1,99.734375,13990.1015625,Up
198,-1,1,99.9296875,13890.171875,Down
199,-1,1,99.9375,13790.234375,Down
200,+1,1,99.7265625,13889.9609375,Up
201,+15,15,99.8203125,15387.265625,Up
202,-1,1,99.84375,15287.421875,Down
203,+1,1,99.8203125,15387.2421875,Up
204,-1,1,99.8515625,15287.390625,Down
205,+1,1,99.8125,15387.203125,Up
206,+1,1,99.8046875,15487.0078125,Up
207,-1,1,99.859375,15387.1484375,Down
208,-1,1,99.8671875,15287.28125,Down
209,+1,1,99.796875,15387.078125,Up
210,-1,1,99.875,15287.203125,Down
211,+1,1,99.7890625,15386.9921875,Up
212,-1,1,99.8828125,15287.109375,Down
213,+1,1,99.78125,15386.890625,Up
214,+1,1,99.7734375,15486.6640625,Up
215,-1,1,99.890625,15386.7734375,Down
216,+1,1,99.765625,15486.5390625,Up
217,-1,1,99.8984375,15386.640625,Down
218,-1,1,99.90625,15286.734375,Down
219,+1,1,99.7578125,15386.4921875,Up
220,+1,1,99.75,15486.2421875,Up
221,-1,1,99.9140625,15386.328125,Down
222,-1,1,99.921875,15286.40625,Down
223,+1,1,99.7421875,15386.1484375,Up
